loss,hm_loss,wh_loss,off_loss,id_loss,time
8.887101,0.584693,0.706373,0.204035,5.440115,8.633333
5.534862,0.485455,0.642338,0.199482,3.450808,8.5
3.830865,0.441426,0.596335,0.195622,2.40759,8.5
2.870989,0.421309,0.598029,0.19429,1.797551,8.483333
2.180407,0.395385,0.57059,0.192452,1.382374,8.5
1.743137,0.381095,0.557823,0.18994,1.119507,8.5
1.384164,0.366721,0.539947,0.186635,0.908466,8.5
1.155305,0.358685,0.545244,0.187139,0.768503,8.483333
0.94141,0.346683,0.53881,0.185492,0.648746,8.5
0.775151,0.335943,0.529011,0.184326,0.559947,8.483333
0.648604,0.329109,0.528884,0.183589,0.490217,8.5
0.53335,0.319916,0.515414,0.182164,0.434759,8.5
0.441621,0.314593,0.51533,0.182106,0.385043,8.5
0.3528,0.306836,0.498823,0.179701,0.347132,8.5
0.27975,0.301285,0.496393,0.180199,0.310537,8.5
0.213162,0.295535,0.507407,0.178496,0.280895,8.5
0.154546,0.290579,0.489211,0.178258,0.258781,8.5
0.088349,0.283842,0.483218,0.177003,0.233089,8.5
0.056506,0.285571,0.483479,0.176352,0.221518,8.5
0.007161,0.2811,0.486026,0.175932,0.204417,8.483333
-0.056915,0.270481,0.470487,0.173583,0.182553,8.5
-0.072018,0.269683,0.470732,0.174683,0.172881,8.5
-0.079462,0.268789,0.461568,0.173532,0.172379,8.5
-0.088945,0.267427,0.464707,0.173202,0.168683,8.5
-0.092015,0.267014,0.464301,0.173934,0.167666,8.5
-0.099519,0.26501,0.461814,0.173515,0.16679,8.5
-0.104296,0.265468,0.462801,0.173676,0.164116,8.516667
-0.115545,0.263257,0.466158,0.173003,0.160526,9.983333
-0.115749,0.263698,0.464108,0.17324,0.161288,8.8
-0.121591,0.263435,0.466427,0.172993,0.158984,8.7
